title,url,replies,views,cleaned_title,sentiment
Muslims who voted for Trump upset by his pro-Israel cabinet picks,https://debatepolitics.com/threads/muslims-who-voted-for-trump-upset-by-his-pro-israel-cabinet-picks.555340/,50,618,muslim voted trump upset proisrael cabinet pick,0.0
Biden backer and NYT columnist admits Trump could be historic president with a Middle East deal,https://debatepolitics.com/threads/biden-backer-and-nyt-columnist-admits-trump-could-be-historic-president-with-a-middle-east-deal.555714/,36,337,biden backer nyt columnist admits trump could historic president middle east deal,0.0
Charlotte Went Red,https://debatepolitics.com/threads/charlotte-went-red.555677/,19,283,charlotte went red,0.0
What would the gipper think of you lot?,https://debatepolitics.com/threads/what-would-the-gipper-think-of-you-lot.555703/,77,415,would gipper think lot,0.0
Italian village offers $1 homes to Americans upset by the US election result,https://debatepolitics.com/threads/italian-village-offers-1-homes-to-americans-upset-by-the-us-election-result.555580/,43,539,italian village offer home american upset u election result,0.0
How are you feeling 2 weeks after election day?,https://debatepolitics.com/threads/how-are-you-feeling-2-weeks-after-election-day.555567/,271,2K,feeling week election day,0.0
The very first female Chief of Staff in U.S. History - and the DEMOCRATS...,https://debatepolitics.com/threads/the-very-first-female-chief-of-staff-in-u-s-history-and-the-democrats.555273/,87,851,first female chief staff u history democrat,0.125
GOP House members talking about Trump & Speaker Johnson forcing the Senate to adjourn to allow recess appointments,https://debatepolitics.com/threads/gop-house-members-talking-about-trump-speaker-johnson-forcing-the-senate-to-adjourn-to-allow-recess-appointments.555598/,14,189,gop house member talking trump speaker johnson forcing senate adjourn allow recess appointment,0.0
Trump is obviously a racist,https://debatepolitics.com/threads/trump-is-obviously-a-racist.554802/,358,3K,trump obviously racist,0.0
Majority of voters refused to cast a ballot for Trump,https://debatepolitics.com/threads/majority-of-voters-refused-to-cast-a-ballot-for-trump.555612/,23,220,majority voter refused cast ballot trump,0.0
"Nearly every state's share of electoral votes doesn't match their share of US population, thus elections can fail to reflect the will of the people.",https://debatepolitics.com/threads/nearly-every-states-share-of-electoral-votes-doesnt-match-their-share-of-us-population-thus-elections-can-fail-to-reflect-the-will-of-the-people.555086/,82,928,nearly every state share electoral vote doesnt match share u population thus election fail reflect people,-0.2
Liberalism Is Yesterday's News,https://debatepolitics.com/threads/liberalism-is-yesterdays-news.555454/,144,1K,liberalism yesterday news,0.0
Litigation Coalition Forming to Confront Trump Administration Policies,https://debatepolitics.com/threads/litigation-coalition-forming-to-confront-trump-administration-policies.555493/,42,282,litigation coalition forming confront trump administration policy,0.0
Trump Sends Market INTO PANIC with his DISASTER WEEK,https://debatepolitics.com/threads/trump-sends-market-into-panic-with-his-disaster-week.555441/,34,404,trump sends market panic disaster week,0.0
"Matt Gaetz as AG, Pete Hegseth as DS...at least facism is funny under DJT haha",https://debatepolitics.com/threads/matt-gaetz-as-ag-pete-hegseth-as-ds-at-least-facism-is-funny-under-djt-haha.555245/,79,418,matt gaetz ag pete hegseth dsat least facism funny djt haha,0.05000000000000001
Where's JD?,https://debatepolitics.com/threads/wheres-jd.555213/,9,205,wheres jd,0.0
Is anyone actually going to leave the country?,https://debatepolitics.com/threads/is-anyone-actually-going-to-leave-the-country.554876/,78,1K,anyone actually going leave country,0.0
